baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	entrez
ENSG00000002330.14	2995.34890414061	-0.122639782549186	0.0616785948503608	-1.98836862037346	0.0467709366428633	0.1054385602839	BAD	572
ENSG00000002549.13	11082.4059515946	-0.213285177305676	0.0425121116111887	-5.017045007229	5.2472278813389e-07	2.71179025850358e-06	LAP3	51056
ENSG00000002587.10	1200.1616046485	-0.4467814713502	0.0724346955201447	-6.16805894111815	6.9133376329376e-10	4.73873462952858e-09	HS3ST1	9957
ENSG00000002746.15	5.17627579071583	2.56124649108909	1.07583420905654	2.38070742641211	0.0172794297306783	0.0445452375113386	HECW1	23072
ENSG00000002919.15	2506.94591162847	-0.374967852306427	0.0504383803597985	-7.43417710147752	1.05220919360402e-13	9.86509201089713e-13	SNX11	29916
ENSG00000003056.8	13084.5236143641	-0.104073257338032	0.0388157891277049	-2.68120936548857	0.00733566045141319	0.0207185707006367	M6PR	4074
ENSG00000003096.15	10331.6818298715	-0.183391132357561	0.0435238799069637	-4.21357500180536	2.5136006508512e-05	0.000106904932766757	KLHL13	90293
ENSG00000003137.9	1005.03724360155	-1.33700348062483	0.0729588076825797	-18.3254568309519	5.18442789756582e-75	1.1419250095223e-72	CYP26B1	56603
ENSG00000003147.19	1465.41825571153	-0.136605239844305	0.0607675712655505	-2.24799571546719	0.024576463124934	0.0604496726296445	ICA1	3382
ENSG00000003249.15	10061.6565536028	-0.432677278894081	0.0375452415863344	-11.5241575393556	9.96824481341456e-31	2.94963853386156e-29	DBNDD1	79007
ENSG00000003400.16	1815.49343380269	0.593737850764537	0.0587033701793843	10.1142038174334	4.77886640962308e-24	9.26649750116437e-23	CASP10	843
ENSG00000003509.16	5625.34724542926	-0.160547530710733	0.0453451838313024	-3.54056411609264	0.000399272609668267	0.00143458350518029	NDUFAF7	55471
ENSG00000003756.17	5966.8086103372	0.16647722879234	0.0404116787018041	4.11953262374394	3.79641672503602e-05	0.000157606219682707	RBM5	10181
ENSG00000004142.12	20086.293108412	-0.274352708408886	0.0428007690800368	-6.40999482733243	1.45524573805954e-10	1.06245847220561e-09	POLDIP2	26073
ENSG00000004399.13	1140.31929209471	0.314599607064541	0.0693565778978389	4.53597361057724	5.73383499511285e-06	2.63886340703568e-05	PLXND1	23129
ENSG00000004455.18	31342.6550189212	-0.379689186325203	0.0397023843255759	-9.56338498996926	1.13966867797972e-21	1.87706251928234e-20	AK2	204
ENSG00000004478.8	59354.5952431621	-0.44943290496333	0.0403241682856013	-11.1454972060468	7.53224098727945e-29	1.99311253264923e-27	FKBP4	2288
ENSG00000004487.18	37983.4848516864	-0.350556488031245	0.0335268588164779	-10.4559896276042	1.37555174938558e-25	2.9609863775315e-24	KDM1A	23028
ENSG00000004534.15	7959.46595236449	-0.396814204214135	0.0404397652069848	-9.81247547267156	9.94972258823792e-23	1.76116283753434e-21	RBM6	10180
ENSG00000004660.15	2508.48763723991	-0.560969298537172	0.0495346664421613	-11.3247819926714	9.89246786721374e-30	2.75786803627208e-28	CAMKK1	84254
ENSG00000004700.16	8791.2254326466	0.152834068617988	0.0392422833480987	3.89462731468181	9.83498252151045e-05	0.000386103612809442	RECQL	5965
ENSG00000004766.17	2984.45199774745	-0.548397243277805	0.0474339391925652	-11.5612840217951	6.473351768756e-31	1.94492817743882e-29	VPS50	55610
ENSG00000004779.10	12175.904377563	-0.285181811768774	0.0523686801606915	-5.44565589382247	5.16148345268683e-08	2.95723974994845e-07	NDUFAB1	4706
ENSG00000004799.8	1695.16659822545	0.500477328380997	0.0609450784396543	8.21194001541162	2.17643003393024e-16	2.48348056078935e-15	PDK4	5166
ENSG00000004846.17	466.953168074918	0.540577429293856	0.115943176194558	4.66243419437416	3.12491023963592e-06	1.47930706167841e-05	ABCB5	340273
ENSG00000004864.14	6500.13908796636	-0.640056963782068	0.0387750414344315	-16.506931781476	3.27096015806108e-61	4.46750309448369e-59	SLC25A13	10165
ENSG00000004866.22	2899.5920886741	-0.433338149883736	0.0479603594479825	-9.03533991136435	1.63493517162638e-19	2.31908695523621e-18	ST7	7982
ENSG00000004897.12	16496.367691716	-0.433112712900815	0.0393957184768983	-10.9939031358139	4.08854112306212e-28	1.0346059927671e-26	CDC27	996
ENSG00000004961.15	6392.37508365803	-0.272820119101228	0.0434330174087108	-6.28139916078021	3.35539409287256e-10	2.37274838441725e-09	HCCS	3052
ENSG00000004975.12	10913.9279600259	-0.243265999466698	0.0395156520356681	-6.15619348118355	7.45141824359456e-10	5.09193813425622e-09	DVL2	1856
ENSG00000005022.6	63823.684627228	-0.327600811852475	0.0394435367563175	-8.30556382092191	9.93465545597531e-17	1.15769828128368e-15	SLC25A5	292
ENSG00000005075.16	3454.68513323179	-0.228198813465205	0.0522395100953427	-4.36831840590996	1.25206862303516e-05	5.527304209269e-05	POLR2J	5439
ENSG00000005100.13	14555.2638461746	-0.176426428386744	0.035681388247853	-4.94449451241178	7.63416918907779e-07	3.87851062573121e-06	DHX33	56919
ENSG00000005102.14	201.593662255471	1.38811028724063	0.156454585036937	8.87228895792927	7.16575549636354e-19	9.66465436221485e-18	MEOX1	4222
ENSG00000005108.17	73.5824390674568	1.6013397095905	0.258377127441049	6.19768369379313	5.73001461852527e-10	3.95623989456104e-09	THSD7A	221981
ENSG00000005156.12	8557.90218618808	-0.666437721048363	0.0367411904624696	-18.1387078823457	1.57695183171024e-73	3.33258935408115e-71	LIG3	3980
ENSG00000005175.10	8416.16707868109	-0.181712560007212	0.0440069130255505	-4.12918215603329	3.64055897477621e-05	0.000151699657679291	RPAP3	79657
ENSG00000005187.12	431.301004158	0.359442620344447	0.10109139244433	3.5556204307146	0.000377088162273419	0.00135971713758655	ACSM3	6296
ENSG00000005194.15	15346.3092891793	-0.331499294920499	0.0380005341128093	-8.72354304116889	2.69629536118243e-18	3.49200952429412e-17	CIAPIN1	57019
ENSG00000005206.17	3834.83730532747	0.287242168280836	0.0461529529781623	6.22370075467862	4.85562806210225e-10	3.37712872800472e-09	SPPL2B	56928
ENSG00000005238.20	479.365633875719	0.632099622274245	0.0981435524875076	6.44056187343231	1.1903201782311e-10	8.76404054014455e-10	ATOSB	80256
ENSG00000005249.14	2212.2553610858	-0.538636923139886	0.0549858381151472	-9.79592094262368	1.17224246654867e-22	2.06792033988961e-21	PRKAR2B	5577
ENSG00000005302.19	4390.41158674719	-0.456847080163197	0.0434862354269506	-10.5055559690979	8.1441478235452e-26	1.78754043141771e-24	MSL3	10943
ENSG00000005379.17	60.4914038422343	1.99617601018923	0.285393220875205	6.99447591665854	2.6625231225334e-12	2.24341960408074e-11	TSPOAP1	9256
ENSG00000005421.9	29.9414147919581	3.19903784080981	0.479455122991027	6.67223622693397	2.51934602179534e-11	1.97388741291816e-10	PON1	5444
ENSG00000005436.14	5128.70357891622	-0.298654544938816	0.046399255318273	-6.43662366756132	1.22160310710441e-10	8.99013656021288e-10	GCFC2	6936
ENSG00000005448.17	3508.48892054478	-0.310579743800667	0.0517821624450869	-5.99781332287979	1.99992233463024e-09	1.30943208834478e-08	WDR54	84058
ENSG00000005471.19	2220.78054951123	-0.247918233802861	0.0594950828499197	-4.16703737396671	3.08583920619657e-05	0.00012960358916639	ABCB4	5244
ENSG00000005483.23	7247.18282129658	-0.497468827576553	0.0431773501708392	-11.5215228727151	1.02778252957034e-30	3.03550086660733e-29	KMT2E	55904
ENSG00000005486.17	3634.24249895451	-0.116164061898745	0.0477986584297431	-2.43027870896187	0.0150872160676847	0.0395237962162432	RHBDD2	57414
ENSG00000005513.11	8.53635941105436	1.90713417898964	0.761808891270817	2.50342861686511	0.0122996488945383	0.0329617100912068	SOX8	30812
ENSG00000005700.15	6946.10536208609	-0.25398962513183	0.0397080759166233	-6.39642237173976	1.59059638739052e-10	1.15695542345147e-09	IBTK	25998
ENSG00000005801.18	5259.41002360946	-0.103585085820579	0.0481671961256157	-2.15053177582599	0.0315131753089179	0.0751076418606283	ZNF195	7748
ENSG00000005810.20	37183.1675679305	-0.304888895652411	0.153803869486128	-1.98232265983341	0.0474431394699165	0.106677144011544	MYCBP2	23077
ENSG00000005882.12	6686.77545443865	-0.2198304511178	0.0450384333689353	-4.88095243715617	1.05574704931239e-06	5.28329607381499e-06	PDK2	5164
ENSG00000005884.18	360.377028460554	0.585794852475093	0.117093588052876	5.0027918882336	5.65059318531884e-07	2.91255113805566e-06	ITGA3	3675
ENSG00000005889.16	6532.70604602056	-0.356988734620482	0.0495178407542519	-7.20929525970554	5.62421917332903e-13	4.98183809357723e-12	ZFX	7543
ENSG00000005893.17	23182.8638666796	-0.0871975571731311	0.0384296523930665	-2.2690175878058	0.0232672563448377	0.0577151222696082	LAMP2	3920
ENSG00000005981.13	173.225913054798	0.813819031019266	0.165114289878123	4.92882252420416	8.27266793981366e-07	4.18815531164701e-06	ASB4	51666
ENSG00000006007.12	14711.0086170799	-0.241766368797384	0.0367556317916318	-6.5776687003494	4.77881527589914e-11	3.65355671924462e-10	GDE1	51573
ENSG00000006015.18	2197.2849248508	-0.206723350388565	0.0750048853551328	-2.75613180941178	0.00584894216463788	0.0168995255504276	REX1BD	55049
ENSG00000006016.12	78.1743340947008	2.06871239942546	0.263562591916243	7.84903648269959	4.19245660088265e-15	4.37529079432121e-14	CRLF1	9244
ENSG00000006025.13	2331.40752239946	0.34179876482097	0.0582022528973239	5.87260368467087	4.29003218304187e-09	2.71728101638316e-08	OSBPL7	114881
ENSG00000006071.16	35.2015146642395	1.72678744548245	0.368112971760753	4.69091713128964	2.71983121547926e-06	1.29756194213766e-05	ABCC8	6833
ENSG00000006118.15	10209.9029850325	0.184196678363918	0.0416280144811063	4.42482498048326	9.65205028918191e-06	4.31536922549226e-05	TMEM132A	54972
ENSG00000006125.18	30545.3343473824	-0.0951479981077801	0.0328621306933874	-2.89536911028493	0.00378712930018303	0.011386142758995	AP2B1	163
ENSG00000006194.11	3222.73855934002	-0.241674744700765	0.0463072366397285	-5.2189411901427	1.79948886094216e-07	9.76281233368396e-07	ZNF263	10127
ENSG00000006210.7	268.021547995078	2.35675125263054	0.154838227895865	15.2207325326376	2.5763012154546e-52	2.2891753726072e-50	CX3CL1	6376
ENSG00000006282.22	12117.8295675603	0.447874111819245	0.0409689887509505	10.9320275035799	8.10176921275627e-28	2.00315443215318e-26	SPATA20	64847
ENSG00000006283.18	85.5209850289989	2.19872245467218	0.25402626795629	8.65549249044792	4.90787810477708e-18	6.2603467978431e-17	CACNA1G	8913
ENSG00000006327.14	323.604648699926	0.786633003134529	0.127109957926916	6.18860249790042	6.06999336969507e-10	4.18082322448696e-09	TNFRSF12A	51330
ENSG00000006377.11	112.111870466611	0.410118502157427	0.208672852879921	1.96536586574309	0.0493719072456101	0.110363432169879	DLX6	1750
ENSG00000006451.8	6293.46595178694	-0.113622625856047	0.045493407755037	-2.49756242635983	0.0125050445153427	0.0334347988806952	RALA	5898
ENSG00000006459.11	2231.14998173641	-0.551983834180432	0.0588548295332001	-9.37873473695234	6.67691275439526e-21	1.03742573382623e-19	KDM7A	80853
